FID,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan,WKT
38,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW02 TALIBUNGING,1.456626719950000,16.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27802037832438 -5.1177145690768802, 120.27779674426225 -5.1181168353511737, 120.27756309673464 -5.1179855170497746, 120.27740769088268 -5.1178529159868829, 120.27735281395981 -5.1180752789296005, 120.2770524099957 -5.1179921660783441,"
39,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 TAPPE'E,4.486253206790000,18.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.2694055645062 -5.1191057734971972, 120.26954074629002 -5.119198028600815, 120.26946689698222 -5.119732858601485, 120.26901378766969 -5.1196181631611566, 120.26897123044147 -5.1197864662459152, 120.26869836350741 -5.1196443436439072, 1"
40,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT01_RW01 TAPPEE,0.681562786385000,28.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.26419575810273 -5.1205156815179151, 120.26417075452372 -5.1205963230035643, 120.26428573904778 -5.1206335612294804, 120.2643293507749 -5.1205091281914354, 120.26434597612457 -5.1205168348976899, 120.26449834058465 -5.1205874636531732,"
41,Sulawesi Selatan,73,Sinjai,07,Tellulimpoe,08,Bua,2008,2008-Desa Bua,2.454699427410000,26.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Takkalala,"MULTIPOLYGON (((120.30969255237493 -5.2275886209666202, 120.30967878385991 -5.2279550850932139, 120.30968128722628 -5.2280710073743162, 120.30970006247404 -5.2281270987929629, 120.30974387138546 -5.2281782043033402, 120.3099153519816 -5.2282554857989183,"
42,Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Panaikang,2004,2004-Desa Panaikang,1.640003146790000,21.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Marana,"MULTIPOLYGON (((120.27547080461414 -5.1690442217014825, 120.27547476349621 -5.1692251637264564, 120.27566903415963 -5.1693005948551312, 120.27562924339563 -5.1696829676091864, 120.27569613889828 -5.1701002279351469, 120.27578128390034 -5.1702650878252534"
43,Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Pasimarannu,2010,2010-Dusun Passahakua Desa Passimarannu,3.047672760400000,32.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Marana,"MULTIPOLYGON (((120.28151570415922 -5.1774588215857005, 120.28154102845694 -5.1774372036046845, 120.28162509970971 -5.1773845955913513, 120.28172330683685 -5.1774409083941642, 120.28180365812267 -5.1773579211040639, 120.28179473020199 -5.1773045721260971"
44,Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Pasimarannu,2010,2010-Dusun Marana Desa Passimarannu,5.596216852480000,31.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Marana,"MULTIPOLYGON (((120.2830992882474 -5.1827738643413461, 120.28308419354782 -5.1827026080176601, 120.28311142090561 -5.1825315683286295, 120.28292292381325 -5.181895383712952, 120.28281820320635 -5.1817055711297835, 120.2828370529156 -5.1813655770195313, 1"
45,Sulawesi Selatan,73,Sinjai,07,Tellulimpoe,08,Patongko,2007,2007-Desa Pattongko,4.797010783090000,23.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Pattongko,"MULTIPOLYGON (((120.33275995120906 -5.2882260122936815, 120.33290726189971 -5.2882015650121819, 120.33313045991586 -5.2881837851704754, 120.33321973912233 -5.2883704734828454, 120.33325321882477 -5.2884949323264676, 120.33336258585268 -5.2885193795963747"
46,Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Sanjai,2002,2002-Desa Sanjai,3.352153817160000,23.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Takkalala,"MULTIPOLYGON (((120.31075690477823 -5.2242336269136107, 120.31074351289725 -5.2242810446923436, 120.31043549963492 -5.2247611494999076, 120.3101230224123 -5.2251819818064584, 120.30975995363939 -5.2256961673747879, 120.30963496275031 -5.2258354567644663,"
47,Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Tongke - Tongke,2011,2011-Desa Tongke-Tongke,23.690018027400001,44.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Tongke Tongke,"MULTIPOLYGON (((120.27212207217509 -5.149672902545178, 120.27161764465862 -5.1498507402042781, 120.2713631989202 -5.1498818617895221, 120.27130963139629 -5.1497996118823917, 120.27114446486436 -5.1497351457315297, 120.27110428922146 -5.1498485172338624,"
48,Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Samataring,1001,1001-Dusun Pangasa Kel. Samataring,4.317970535640000,24.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Samataring,"MULTIPOLYGON (((120.26476596313894 -5.1312879025607359, 120.26441603666829 -5.1312755752697656, 120.2641839107315 -5.1310147390789718, 120.2642473981672 -5.1309119853988294, 120.2640172562128 -5.1309139614312995, 120.26400138435382 -5.1307124060881319, 1"
49,Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Samataring,1001,1001-Dusun Poliwali Kel.Samataring,1.959583923790000,26.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Samataring,"MULTIPOLYGON (((120.26480117837673 -5.1426605667288365, 120.26471884543845 -5.1423857507800026, 120.26463651250013 -5.1420843396029641, 120.2645119004854 -5.1418294697463187, 120.26440509018708 -5.1416654664802817, 120.26425600081232 -5.1416011949185538,"
