Data Aset Tanah Pemda yang telah disertifikatkan 5 tahun terkahir;;;;;;;;;;;;;;
No;Nomor Sertifikat;Nama Pemilik / Instansi;Luas (m²);Lokasi / Alamat;Desa / Kelurahan;Kecamatan;Tanggal Terbit Sertifikat;Nomor Hak (HGB/Hak Pakai/Hak Milik);Peruntukan / Penggunaan Tanah;Koordinat Longitude;Koordinat Latitude;Nilai Aset (Rp);Status Tanah (Aktif / Sengketa / Tidak Digunakan);Keterangan
43;00119;Dinas Pekerjaan Umum dan Penataan Ruang;518,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. R. W. Monginsidi Bidang 2;120.252611;-5.131.766;;Aktif;
44;00038;Dinas Pekerjaan Umum dan Penataan Ruang;3.946,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;14-08-2023;HAK PAKAI;Tanah Ruas Jl. Cakalang Bidang 1;120.268473;-5.112.874;;Aktif;Penamaan Pada Peta Jl. Udang
45;00064;Dinas Pekerjaan Umum dan Penataan Ruang;846,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara I Bidang 2;120.248437;-5.111.746;;Aktif;
46;00053;Dinas Pekerjaan Umum dan Penataan Ruang;3.628,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara Bidang 2;120.251887;-5.115.309;;Aktif;Penamaan Pada Peta Jl. Pramuka
47;00057;Dinas Pekerjaan Umum dan Penataan Ruang;3.820,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara Bidang 3;120.251688;-5.112.469;;Aktif;Penamaan Pada Peta Jl. Pramuka
48;00105;Dinas Pekerjaan Umum dan Penataan Ruang;975,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. Andi. Paddo;120.246083;-5.139.919;;Aktif;
49;00116;Dinas Pekerjaan Umum dan Penataan Ruang;2.134,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;21-12-2022;HAK PAKAI;Tanah Ruas Jl. Letjend Sukawati;120.249373;-5.132.761;;Aktif;
50;00130;Dinas Pekerjaan Umum dan Penataan Ruang;2.884,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;14-08-2023;HAK PAKAI;Tanah Ruas Jl. M. H. Thamrin;120.252747;-5.129.723;;Aktif;
51;00117;Dinas Pekerjaan Umum dan Penataan Ruang;1.313,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Yahya Mathan;120.257360;-5.120.928;;Aktif;
52;00112;Dinas Pekerjaan Umum dan Penataan Ruang;2.015,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;25-01-2021;HAK PAKAI;Tanah Ruas Jl. Yahya Mathan I;120.256976;-5.121.238;;Aktif;
53;00132;Dinas Pekerjaan Umum dan Penataan Ruang;1.086,00;Kel .Balangnipa;Kel .Balangnipa;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. DR. Samratulangi Bidang 3;120.258635;-5.123.947;;Aktif;
54;00111;Dinas Pekerjaan Umum dan Penataan Ruang;1.144,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;25-01-2021;HAK PAKAI;Tanah Ruas Jl. Sultan Hasanuddin I;120.257217;-5.118.223;;Aktif;
55;00138;Dinas Pekerjaan Umum dan Penataan Ruang;2.909,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. Teratai Bidang 2;120.263963;-5.119.710;;Aktif;
56;00126;Dinas Pekerjaan Umum dan Penataan Ruang;556,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-12-2022;HAK PAKAI;Tanah Ruas Jl. Melati Bidang 1;120.261344;-5.119.604;;Aktif;
57;00145;Dinas Pekerjaan Umum dan Penataan Ruang;1.037,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-07-2023;HAK PAKAI;Tanah Ruas Jl. Beluntas;120.261733;-5.119.985;;Aktif;Penamaan Pada Peta Jl. Haji Oemar Said Cokroaminoto
58;00139;Dinas Pekerjaan Umum dan Penataan Ruang;1.927,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. Hos Cokroaminoto;120.261274;-5.119.116;;Aktif;
59;00128;Dinas Pekerjaan Umum dan Penataan Ruang;433,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Flamboyan;120.260974;-5.118.820;;Aktif;
60;00142;Dinas Pekerjaan Umum dan Penataan Ruang;367,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Markisa Bidang II;120.259798;-5.117.711;;Aktif;
61;00127;Dinas Pekerjaan Umum dan Penataan Ruang;690,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Muh. Tahir Bidang 1;120.259258;-5.117.597;;Aktif;
62;00137;Dinas Pekerjaan Umum dan Penataan Ruang;1.142,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. Anggrek;120.261035;-5.118.457;;Aktif;
63;00154;Dinas Pekerjaan Umum dan Penataan Ruang;1.429,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Mawar;120.262526;-5.118.041;;Aktif;
64;00036;Dinas Pekerjaan Umum dan Penataan Ruang;2.650,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Baronang;120.266246;-5.117.817;;Aktif;
65;00037;Dinas Pekerjaan Umum dan Penataan Ruang;2.272,00;Kel. Lappa;Kel. Lappa;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Titang Bidang 1;120.267712;-5.117.173;;Aktif;
66;00106;Dinas Pekerjaan Umum dan Penataan Ruang;1.309,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. K. H. Dewantara;120.248863;-5.134.289;;Aktif;
67;00109;Dinas Pekerjaan Umum dan Penataan Ruang;1.261,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. K. H. Dewantara I Bidang 1;120.247438;-5.133.496;;Aktif;
68;00108;Dinas Pekerjaan Umum dan Penataan Ruang;2.334,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;01-12-2022;HAK PAKAI;Tanah Ruas Jl. A. Akbar;120.250044;-5.130.668;;Aktif;
69;00155;Dinas Pekerjaan Umum dan Penataan Ruang;1.951,00;Kel. Balangnipa / Kel. Bongki;Kel. Balangnipa / Kel. Bongki;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Gunung Bawakaraeng Bidang 1;120.254019;-5.120.855;;Aktif;
70;00067;Dinas Pekerjaan Umum dan Penataan Ruang;1.501,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;14-08-2023;HAK PAKAI;Tanah Ruas Jl. Lompo Battang Bidang 1;120.255568;-5.117.195;;Aktif;
71;00152;Dinas Pekerjaan Umum dan Penataan Ruang;1.575,00;Kel. Bongki;Kel. Balangnipa;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Lohe I;120.255034;-5.113.356;;Aktif;
72;00150;Dinas Pekerjaan Umum dan Penataan Ruang;1.476,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;27-07-2023;HAK PAKAI;Tanah Ruas Jl. Gunung Krakatau;120.256579;-5.114.525;;Aktif;
73;00149;Dinas Pekerjaan Umum dan Penataan Ruang;920,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;27-07-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Beppajeng;120.257105;-5.114.938;;Aktif;
74;00069;Dinas Pekerjaan Umum dan Penataan Ruang;1.314,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;14-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Patukku;120.251850;-5.110.406;;Aktif;
75;00141;Dinas Pekerjaan Umum dan Penataan Ruang;1.468,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Pramuka;120.255962;-5.117.938;;Aktif;
76;00127;Dinas Pekerjaan Umum dan Penataan Ruang;2.037,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;03-08-2023;HAK PAKAI;Tanah Ruas Jl. Dahlan Isma;120.249684;-5.131.610;;Aktif;
77;00123;Dinas Pekerjaan Umum dan Penataan Ruang;1.028,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;24-11-2022;HAK PAKAI;Tanah Ruas Jl. Dr. Sutomo;120.260848;-5.117.203;;Aktif;
78;00114;Dinas Pekerjaan Umum dan Penataan Ruang;118,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. Diponegoro I Bidang 2;120.249745;-5.134.463;;Aktif;
79;00118;Dinas Pekerjaan Umum dan Penataan Ruang;1.347,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;19-01-2023;HAK PAKAI;Tanah Ruas Jl. Diponegoro;120.250763;-5.133.023;;Aktif;
80;00113;Dinas Pekerjaan Umum dan Penataan Ruang;2.715,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;25-01-2021;HAK PAKAI;Tanah Ruas Jl. Sultan Hasanuddin;120.259011;-5.118.600;;Aktif;
81;00116;Dinas Pekerjaan Umum dan Penataan Ruang;1.133,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Kelapa;120.258565;-5.117.695;;Aktif;
82;00115;Dinas Pekerjaan Umum dan Penataan Ruang;656,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Cengkeh;120.258850;-5.117.113;;Aktif;
83;00114;Dinas Pekerjaan Umum dan Penataan Ruang;1.370,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;25-01-2021;HAK PAKAI;Tanah Ruas Jl. Yahya Mathan;120.256480;-5.120.096;;Aktif;
